Tri,TriSig,Dex,DexSig
3739.5,0.02047,3739.5,0.0314
3739,0.02362,3739,0.0234
3738.5,0.02365,3738.5,0.01071
3738,0.03376,3738,0.01694
3737.5,0.03683,3737.5,0.01962
3737,0.03996,3737,0.01546
3736.5,0.03812,3736.5,0.01897
3736,0.03142,3736,0.022
3735.5,0.03616,3735.5,0.02773
3735,0.04337,3735,0.02762
3734.5,0.02872,3734.5,0.01786
3734,0.02945,3734,0.01686
3733.5,0.04213,3733.5,0.01189
3733,0.0365,3733,0.01079
3732.5,0.03017,3732.5,0.02707
3732,0.03812,3732,0.03391
3731.5,0.04359,3731.5,0.02288
3731,0.03827,3731,0.02257
3730.5,0.03296,3730.5,0.0224
3730,0.03197,3730,0.02537
3729.5,0.0213,3729.5,0.02089
3729,0.02262,3729,0.01723
3728.5,0.03422,3728.5,0.02627
3728,0.03402,3728,0.02683
3727.5,0.02687,3727.5,0.02007
3727,0.02303,3727,0.01874
3726.5,0.02503,3726.5,0.02238
3726,0.02768,3726,0.02159
3725.5,0.02642,3725.5,0.01355
3725,0.02507,3725,0.01413
3724.5,0.01834,3724.5,0.01886
3724,0.01216,3724,0.01926
3723.5,0.02487,3723.5,0.02387
3723,0.03698,3723,0.02077
3722.5,0.03777,3722.5,0.023
3722,0.02847,3722,0.02032
3721.5,0.02268,3721.5,0.0125
3721,0.02288,3721,0.02363
3720.5,0.02174,3720.5,0.02615
3720,0.029,3720,0.02009
3719.5,0.03758,3719.5,0.0244
3719,0.03528,3719,0.01912
3718.5,0.02855,3718.5,0.01385
3718,0.02928,3718,0.02057
3717.5,0.02665,3717.5,0.01796
3717,0.02224,3717,0.01387
3716.5,0.02672,3716.5,0.0197
3716,0.03509,3716,0.02725
3715.5,0.03337,3715.5,0.02064
3715,0.02427,3715,0.01126
3714.5,0.01882,3714.5,0.01503
3714,0.02252,3714,0.02024
3713.5,0.02698,3713.5,0.01601
3713,0.03089,3713,0.0124
3712.5,0.02415,3712.5,0.01083
3712,0.02248,3712,0.01319
3711.5,0.03039,3711.5,0.023
3711,0.02495,3711,0.02857
3710.5,0.02194,3710.5,0.02757
3710,0.0302,3710,0.0279
3709.5,0.02989,3709.5,0.01906
3709,0.03793,3709,0.01237
3708.5,0.04313,3708.5,0.01849
3708,0.03788,3708,0.02995
3707.5,0.02598,3707.5,0.02588
3707,0.01382,3707,0.009
3706.5,0.01533,3706.5,0.01518
3706,0.02457,3706,0.0265
3705.5,0.02952,3705.5,0.01992
3705,0.02392,3705,0.01232
3704.5,0.01904,3704.5,0.01378
3704,0.01756,3704,0.01826
3703.5,0.02365,3703.5,0.0211
3703,0.03556,3703,0.02463
3702.5,0.03842,3702.5,0.02738
3702,0.03057,3702,0.01864
3701.5,0.0257,3701.5,0.01247
3701,0.02697,3701,0.01779
3700.5,0.02762,3700.5,0.02347
3700,0.02578,3700,0.02142
3699.5,0.02852,3699.5,0.01866
3699,0.03364,3699,0.02437
3698.5,0.03483,3698.5,0.02975
3698,0.02867,3698,0.02217
3697.5,0.02315,3697.5,0.01753
3697,0.02537,3697,0.02403
3696.5,0.02852,3696.5,0.02415
3696,0.0286,3696,0.01959
3695.5,0.02902,3695.5,0.02285
3695,0.02858,3695,0.02628
3694.5,0.02937,3694.5,0.02665
3694,0.02984,3694,0.02435
3693.5,0.02442,3693.5,0.01972
3693,0.01997,3693,0.01746
3692.5,0.01869,3692.5,0.01703
3692,0.02237,3692,0.02
3691.5,0.026,3691.5,0.02064
3691,0.02887,3691,0.01851
3690.5,0.03473,3690.5,0.02134
3690,0.02623,3690,0.01718
3689.5,0.0218,3689.5,0.01565
3689,0.03591,3689,0.03032
3688.5,0.04492,3688.5,0.03805
3688,0.0364,3688,0.03232
3687.5,0.02377,3687.5,0.02742
3687,0.01816,3687,0.01669
3686.5,0.02503,3686.5,0.01561
3686,0.0226,3686,0.01663
3685.5,0.0229,3685.5,0.02049
3685,0.0255,3685,0.01826
3684.5,0.0202,3684.5,0.01427
3684,0.01832,3684,0.02117
3683.5,0.0222,3683.5,0.02162
3683,0.02225,3683,0.01723
3682.5,0.0229,3682.5,0.01551
3682,0.02727,3682,0.02002
3681.5,0.0217,3681.5,0.02718
3681,0.01718,3681,0.02632
3680.5,0.01619,3680.5,0.01884
3680,0.01435,3680,0.01791
3679.5,0.01847,3679.5,0.02437
3679,0.02385,3679,0.02807
3678.5,0.02232,3678.5,0.0206
3678,0.02074,3678,0.00991
3677.5,0.02952,3677.5,0.02102
3677,0.03606,3677,0.03643
3676.5,0.02797,3676.5,0.02832
3676,0.02918,3676,0.01689
3675.5,0.04303,3675.5,0.01536
3675,0.04533,3675,0.01511
3674.5,0.0376,3674.5,0.0159
3674,0.01575,3674,0.01734
3673.5,0.01066,3673.5,0.01972
3673,0.02605,3673,0.02638
3672.5,0.03705,3672.5,0.03
3672,0.03362,3672,0.02448
3671.5,0.02335,3671.5,0.01269
3671,0.0234,3671,0.00603
3670.5,0.02753,3670.5,0.01076
3670,0.03242,3670,0.01847
3669.5,0.05188,3669.5,0.03391
3669,0.05686,3669,0.03899
3668.5,0.0315,3668.5,0.02713
3668,0.02074,3668,0.02134
3667.5,0.02252,3667.5,0.02255
3667,0.02268,3667,0.02082
3666.5,0.02553,3666.5,0.02293
3666,0.02867,3666,0.02673
